2026-05-06 19:28:11 | INFO     | app.services.embedding_service | Loading embedding model: BAAI/bge-large-en-v1.5 on cuda:1 …
2026-05-06 19:28:11 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 47.3 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 19:28:12 | INFO     | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-en-v1.5.
2026-05-06 19:28:18 | INFO     | app.services.embedding_service | Embedding model: fp16 enabled.
2026-05-06 19:28:18 | INFO     | app.services.embedding_service | Embedding batch size: 512
2026-05-06 19:28:18 | INFO     | app.services.embedding_service | Embedding model warmup complete.
2026-05-06 19:28:18 | INFO     | app.services.embedding_service | Embedding model ready.
2026-05-06 19:28:18 | INFO     | __main__                       | Initializing reranker on cuda:1 …
2026-05-06 19:28:18 | INFO     | app.services.reranker_service  | Loading reranker model: BAAI/bge-reranker-v2-m3 on cuda:1 …
2026-05-06 19:28:18 | INFO     | app.utils.gpu_utils            | Device: cuda:1 — NVIDIA RTX A6000  (47.5 GB total, 45.9 GB free)  CUDA 12.4  cuDNN 90100
2026-05-06 19:28:18 | INFO     | sentence_transformers.base.model | No modules.json found for BAAI/bge-reranker-v2-m3, initializing a new CrossEncoder model.
2026-05-06 19:28:24 | INFO     | app.services.reranker_service  | Reranker model ready.
2026-05-06 19:28:24 | INFO     | __main__                       | All PyTorch models ready.
2026-05-06 19:28:24 | INFO     | __main__                       | ── [3/4] Ollama health check …
2026-05-06 19:28:24 | INFO     | __main__                       | Checking Ollama connectivity …
2026-05-06 19:28:30 | INFO     | app.services.llm_service       | Ollama LLM (gpt-oss:20b) is ready.
2026-05-06 19:28:30 | INFO     | __main__                       | ── [4/4] Session cleanup daemon …
2026-05-06 19:28:30 | INFO     | app.core.session_cache         | Session cleanup thread started (TTL=3600s, interval=300s).
2026-05-06 19:28:30 | INFO     | app.core.session_cache         | Session cleanup daemon thread started.
2026-05-06 19:28:30 | INFO     | __main__                       | Startup complete in 24.6s.
2026-05-06 19:28:30 | INFO     | __main__                       | Launching Gradio on port 7860 …
2026-05-06 19:28:41 | INFO     | app.ui.handlers                | Uploaded: Gemma3_TR.pdf → /storage/sourava/RAG_Pipeline/RAG_Page/storage/uploads/Gemma3_TR.pdf
2026-05-06 19:28:41 | INFO     | app.ui.handlers                | Uploaded: GPT4_TR.pdf → /storage/sourava/RAG_Pipeline/RAG_Page/storage/uploads/GPT4_TR.pdf
2026-05-06 19:28:41 | INFO     | app.utils.file_utils           | Cache hit: 'Gemma3_TR' already processed (fingerprint match). Skipping ingestion.
2026-05-06 19:28:41 | INFO     | app.core.ingestion             | [INGEST] 'Gemma3_TR' already processed — loading from cache.
2026-05-06 19:28:42 | INFO     | app.core.indexing              | [INDEX] Processing 169 chunks for 'Gemma3_TR' …
2026-05-06 19:28:42 | INFO     | app.core.indexing              | [INDEX] 'Gemma3_TR' already fully indexed (169 chunks). Skipping.
2026-05-06 19:28:42 | INFO     | app.core.retrieval             | BM25 cache invalidated.
2026-05-06 19:28:42 | INFO     | app.utils.file_utils           | Cache hit: 'GPT4_TR' already processed (fingerprint match). Skipping ingestion.
